cluster,cells,celltype,best_mean_marker_score,second_mean_marker_score,confidence_delta
0,6269,Myofibroblasts,0.9004097251826798,0.871077148657874,0.02933257652480581
1,3107,Myofibroblasts,1.0315195915413706,0.7708730737719296,0.26064651776944103
2,4114,Smooth muscle cells,1.2825130312169715,1.0885310636163021,0.19398196760066932
3,4122,Vascular endothelial cells,0.9490268777527505,0.9231807150008566,0.025846162751893886
4,1618,Smooth muscle cells,0.8041761449646881,0.7365067666252236,0.06766937833946451
5,3216,CD4+ memory T cells,1.3571619368858836,1.0665877875649856,0.290574149320898
6,863,Alveolar type I cells,1.9760617909149063,0.7708076126572061,1.2052541782577002
7,2149,Alveolar type II cells,2.2441676078793575,0.8228857366378847,1.4212818712414728
8,4170,Vascular endothelial cells,1.72121339265858,0.9965837895756551,0.7246296030829249
9,906,Club cells,1.770183945104984,0.9934408968163094,0.7767430482886745
10,3159,Vascular endothelial cells,1.9716024197416195,1.2860094248548621,0.6855929948867574
11,775,Vascular endothelial cells,1.6798350481318391,1.539203486340215,0.14063156179162406
12,1569,Alveolar macrophages,2.0118880870200333,1.970404348310293,0.0414837387097402
13,2835,Non-classical monocytes,1.6675368505852466,1.198477622722565,0.4690592278626815
14,4641,Classical monocytes,1.6404801221040304,1.5089090621782273,0.1315710599258031
15,1738,Non-classical monocytes,1.7183944124161135,1.6607254998851553,0.05766891253095818
16,10859,CD8+ effector T cells,1.2450584817441477,1.1392465567214465,0.1058119250227012
17,532,Mast cells,1.3422675953120278,1.3136393048793333,0.028628290432694437
18,2012,Activated T cells,0.8482114153984055,0.8174478158518654,0.030763599546540066
19,904,Endothelial tip cells,0.7823856709411545,0.6572524181566924,0.12513325278446208
20,618,Plasma cells,1.3119133006886337,1.006869676938944,0.30504362374968963
21,1559,Ciliated cells,0.6873198763922609,0.22088618044660804,0.46643369594565287
22,836,Club cells,0.4882267248988998,0.466921673314047,0.021305051584852797
23,899,Classical monocytes,1.4666813456417018,1.324521179593626,0.1421601660480758
24,2775,Alveolar type II cells,2.073352843959506,0.44349883859632844,1.6298540053631778
25,6753,CD4+ memory T cells,1.4323203624337066,1.2329608489357988,0.19935951349790781
26,3013,CD8+ effector T cells,1.5331244795441414,1.5094651978574432,0.023659281686698286
27,4407,Classical monocytes,1.121115309621198,1.102226175970589,0.01888913365060918
28,1819,Alveolar macrophages,1.0797444355744317,0.5835379588302401,0.4962064767441916
29,2940,Alveolar macrophages,0.4158453639567312,0.33671894624495025,0.07912641771178097
30,1662,Non-classical monocytes,1.7574546191357103,1.68583314538301,0.07162147375270034
31,1615,Non-classical monocytes,1.3963808710812435,1.2954266333783138,0.10095423770292977
32,307,Myofibroblasts,0.9933581686885878,0.7862606577398301,0.20709751094875772
33,1354,Myofibroblasts,1.0301677664056803,0.9605033281156754,0.0696644382900049
34,829,Alveolar type II cells,2.442311014431163,0.6039334623725007,1.8383775520586623
35,515,Neutrophils,1.333431496959771,0.9833047069231712,0.35012679003659974
36,4360,Alveolar type I cells,0.8928070583046122,0.26630904742057443,0.6264980108840377
37,7130,Alveolar type II cells,1.247094411027794,0.33022342015759476,0.9168709908701992
38,842,Alveolar type II cells,2.770283123125201,0.6229787724537862,2.147304350671415
39,2158,Vascular endothelial cells,0.9206926790104812,0.6232951617052126,0.29739751730526864
40,879,Club cells,0.426692367031722,0.33917768662678943,0.08751468040493254
41,4527,Myofibroblasts,0.4276717888869967,0.3902918013659451,0.037379987521051594
42,426,Basophils,1.616058909133812,1.0673034055636788,0.5487555035701333
43,717,Plasma cells,0.7140959437889455,0.34756280417618646,0.366533139612759
44,3371,CD4+ memory T cells,0.584886782643712,0.5541533155365523,0.03073346710715963
45,998,Follicular B cells,0.4281543442652434,0.3060114690913202,0.1221428751739232
46,326,Alveolar type I cells,2.1462976301652605,0.6126156546298054,1.5336819755354552
47,1845,Goblet cells,0.7353748277936357,0.3704750148485583,0.3648998129450774
48,458,Pericytes,0.9930534825661641,0.9228383958973437,0.07021508666882037
49,791,Basophils,2.1544224835026187,1.9522493471190034,0.20217313638361523
