analysis_set,celltype,test,statistic,pvalue,groups,fdr
all_study_diagnostic,Activated T cells,kruskal,20.664697211644746,0.0003690098349230874,GSE132771:n=6; GSE159354:n=5; GSE171524:n=7; GSE173896:n=6; GSE227691:n=4,0.0008610229481538705
all_study_diagnostic,Alveolar macrophages,kruskal,21.95096048298573,0.00020497572605465895,GSE132771:n=6; GSE159354:n=5; GSE171524:n=7; GSE173896:n=6; GSE227691:n=4,0.0007791479064240186
all_study_diagnostic,Alveolar type I cells,kruskal,16.823187895847994,0.002091964672349975,GSE132771:n=6; GSE159354:n=5; GSE171524:n=7; GSE173896:n=6; GSE227691:n=4,0.0031379470085249627
all_study_diagnostic,Alveolar type II cells,kruskal,12.181069669247023,0.016054372094532178,GSE132771:n=6; GSE159354:n=5; GSE171524:n=7; GSE173896:n=6; GSE227691:n=4,0.01983187141089269
all_study_diagnostic,Basophils,kruskal,24.381871471993055,6.696062292070521e-05,GSE132771:n=6; GSE159354:n=5; GSE171524:n=7; GSE173896:n=6; GSE227691:n=4,0.0007791479064240186
all_study_diagnostic,CD4+ memory T cells,kruskal,11.582653061224477,0.02074022468574583,GSE132771:n=6; GSE159354:n=5; GSE171524:n=7; GSE173896:n=6; GSE227691:n=4,0.024196928800036804
all_study_diagnostic,CD8+ effector T cells,kruskal,23.424247635425626,0.00010416153441320077,GSE132771:n=6; GSE159354:n=5; GSE171524:n=7; GSE173896:n=6; GSE227691:n=4,0.0007791479064240186
all_study_diagnostic,Ciliated cells,kruskal,6.608283661627127,0.15809422621843225,GSE132771:n=6; GSE159354:n=5; GSE171524:n=7; GSE173896:n=6; GSE227691:n=4,0.15809422621843225
all_study_diagnostic,Classical monocytes,kruskal,21.865933455094115,0.00021311857767949418,GSE132771:n=6; GSE159354:n=5; GSE171524:n=7; GSE173896:n=6; GSE227691:n=4,0.0007791479064240186
all_study_diagnostic,Club cells,kruskal,8.946199859254051,0.06245838656359885,GSE132771:n=6; GSE159354:n=5; GSE171524:n=7; GSE173896:n=6; GSE227691:n=4,0.0655813058917788
all_study_diagnostic,Endothelial tip cells,kruskal,17.91049011177989,0.001284808624194521,GSE132771:n=6; GSE159354:n=5; GSE171524:n=7; GSE173896:n=6; GSE227691:n=4,0.0020754600852373032
all_study_diagnostic,Follicular B cells,kruskal,20.984657347425856,0.0003188949139561414,GSE132771:n=6; GSE159354:n=5; GSE171524:n=7; GSE173896:n=6; GSE227691:n=4,0.0008610229481538705
all_study_diagnostic,Goblet cells,kruskal,9.683111954459186,0.04611768493379854,GSE132771:n=6; GSE159354:n=5; GSE171524:n=7; GSE173896:n=6; GSE227691:n=4,0.0509721780847247
all_study_diagnostic,Mast cells,kruskal,16.423495440729475,0.002500491104100424,GSE132771:n=6; GSE159354:n=5; GSE171524:n=7; GSE173896:n=6; GSE227691:n=4,0.003500687545740594
all_study_diagnostic,Myofibroblasts,kruskal,18.458163265306112,0.001003916098236142,GSE132771:n=6; GSE159354:n=5; GSE171524:n=7; GSE173896:n=6; GSE227691:n=4,0.0019165670966326347
all_study_diagnostic,Neutrophils,kruskal,21.77076372315036,0.00022261368754971958,GSE132771:n=6; GSE159354:n=5; GSE171524:n=7; GSE173896:n=6; GSE227691:n=4,0.0007791479064240186
all_study_diagnostic,Non-classical monocytes,kruskal,17.96195081514229,0.0012554080926944942,GSE132771:n=6; GSE159354:n=5; GSE171524:n=7; GSE173896:n=6; GSE227691:n=4,0.0020754600852373032
all_study_diagnostic,Pericytes,kruskal,20.910501193317412,0.0003298731391032515,GSE132771:n=6; GSE159354:n=5; GSE171524:n=7; GSE173896:n=6; GSE227691:n=4,0.0008610229481538705
all_study_diagnostic,Plasma cells,kruskal,14.370804817957843,0.006200966976354168,GSE132771:n=6; GSE159354:n=5; GSE171524:n=7; GSE173896:n=6; GSE227691:n=4,0.008138769156464845
all_study_diagnostic,Smooth muscle cells,kruskal,22.62857142857142,0.00015020257339306705,GSE132771:n=6; GSE159354:n=5; GSE171524:n=7; GSE173896:n=6; GSE227691:n=4,0.0007791479064240186
all_study_diagnostic,Vascular endothelial cells,kruskal,20.238916256157637,0.00044798017895457805,GSE132771:n=6; GSE159354:n=5; GSE171524:n=7; GSE173896:n=6; GSE227691:n=4,0.0009407583758046139
controlled_primary,Activated T cells,mannwhitneyu_two_sided,5.0,0.17142857142857143,GSE173896:n=6; GSE227691:n=4,0.2285714285714286
controlled_primary,Alveolar macrophages,mannwhitneyu_two_sided,19.0,0.17142857142857143,GSE173896:n=6; GSE227691:n=4,0.2285714285714286
controlled_primary,Alveolar type I cells,mannwhitneyu_two_sided,24.0,0.009523809523809525,GSE173896:n=6; GSE227691:n=4,0.03480478332035994
controlled_primary,Alveolar type II cells,mannwhitneyu_two_sided,21.0,0.06666666666666667,GSE173896:n=6; GSE227691:n=4,0.1212121212121212
controlled_primary,Basophils,mannwhitneyu_two_sided,24.0,0.013921913328143975,GSE173896:n=6; GSE227691:n=4,0.03480478332035994
controlled_primary,CD4+ memory T cells,mannwhitneyu_two_sided,24.0,0.009523809523809525,GSE173896:n=6; GSE227691:n=4,0.03480478332035994
controlled_primary,CD8+ effector T cells,mannwhitneyu_two_sided,0.0,0.009523809523809525,GSE173896:n=6; GSE227691:n=4,0.03480478332035994
controlled_primary,Ciliated cells,mannwhitneyu_two_sided,9.0,0.6095238095238095,GSE173896:n=6; GSE227691:n=4,0.6772486772486772
controlled_primary,Classical monocytes,mannwhitneyu_two_sided,5.0,0.17142857142857143,GSE173896:n=6; GSE227691:n=4,0.2285714285714286
controlled_primary,Club cells,mannwhitneyu_two_sided,16.0,0.47619047619047616,GSE173896:n=6; GSE227691:n=4,0.5602240896358543
controlled_primary,Endothelial tip cells,mannwhitneyu_two_sided,5.0,0.17142857142857143,GSE173896:n=6; GSE227691:n=4,0.2285714285714286
controlled_primary,Follicular B cells,mannwhitneyu_two_sided,11.5,1.0,GSE173896:n=6; GSE227691:n=4,1.0
controlled_primary,Mast cells,mannwhitneyu_two_sided,14.0,0.7329950885751295,GSE173896:n=6; GSE227691:n=4,0.7715737774475047
controlled_primary,Myofibroblasts,mannwhitneyu_two_sided,24.0,0.009523809523809525,GSE173896:n=6; GSE227691:n=4,0.03480478332035994
controlled_primary,Neutrophils,mannwhitneyu_two_sided,24.0,0.013921913328143975,GSE173896:n=6; GSE227691:n=4,0.03480478332035994
controlled_primary,Non-classical monocytes,mannwhitneyu_two_sided,8.0,0.47619047619047616,GSE173896:n=6; GSE227691:n=4,0.5602240896358543
controlled_primary,Pericytes,mannwhitneyu_two_sided,24.0,0.013061845200729446,GSE173896:n=6; GSE227691:n=4,0.03480478332035994
controlled_primary,Plasma cells,mannwhitneyu_two_sided,23.0,0.01904761904761905,GSE173896:n=6; GSE227691:n=4,0.04232804232804233
controlled_primary,Smooth muscle cells,mannwhitneyu_two_sided,22.0,0.03072784224986109,GSE173896:n=6; GSE227691:n=4,0.06145568449972218
controlled_primary,Vascular endothelial cells,mannwhitneyu_two_sided,24.0,0.009523809523809525,GSE173896:n=6; GSE227691:n=4,0.03480478332035994
