analysis_set,study1,study2,js_divergence
all_study_diagnostic,GSE132771,GSE159354,0.3297555769671122
all_study_diagnostic,GSE132771,GSE171524,0.2671305896713892
all_study_diagnostic,GSE132771,GSE173896,0.31440182372067654
all_study_diagnostic,GSE132771,GSE227691,0.6300156190082469
all_study_diagnostic,GSE159354,GSE171524,0.36257253527648503
all_study_diagnostic,GSE159354,GSE173896,0.36258936203323683
all_study_diagnostic,GSE159354,GSE227691,0.5235719819224144
all_study_diagnostic,GSE171524,GSE173896,0.3122305838417561
all_study_diagnostic,GSE171524,GSE227691,0.6218795950200797
all_study_diagnostic,GSE173896,GSE227691,0.31288172380560364
controlled_primary,GSE173896,GSE227691,0.3128817238056039
