celltype,n_pseudobulk_samples,genes_tested,significant_genes,up_in_group1,up_in_group2,group1,group2,method
Vascular endothelial cells,10,19974,6857,1127,5730,GSE173896,GSE227691,PyDESeq2
CD8+ effector T cells,10,19606,5562,2996,2566,GSE173896,GSE227691,PyDESeq2
Non-classical monocytes,10,21176,4833,2516,2317,GSE173896,GSE227691,PyDESeq2
Endothelial tip cells,10,13235,1305,502,803,GSE173896,GSE227691,PyDESeq2
Club cells,10,19385,1281,714,567,GSE173896,GSE227691,PyDESeq2
Activated T cells,10,13657,686,281,405,GSE173896,GSE227691,PyDESeq2
Myofibroblasts,9,17381,568,530,38,GSE173896,GSE227691,PyDESeq2
Alveolar macrophages,10,8056,472,458,14,GSE173896,GSE227691,PyDESeq2
CD4+ memory T cells,10,20777,401,30,371,GSE173896,GSE227691,PyDESeq2
Alveolar type II cells,10,17228,96,11,85,GSE173896,GSE227691,PyDESeq2
Basophils,8,14009,93,25,68,GSE173896,GSE227691,PyDESeq2
Alveolar type I cells,10,13519,75,5,70,GSE173896,GSE227691,PyDESeq2
Plasma cells,10,11261,36,4,32,GSE173896,GSE227691,PyDESeq2
Ciliated cells,9,12580,27,5,22,GSE173896,GSE227691,PyDESeq2
Classical monocytes,9,1309,1,0,1,GSE173896,GSE227691,PyDESeq2
Neutrophils,8,6114,1,0,1,GSE173896,GSE227691,PyDESeq2
Mast cells,5,210,0,0,0,GSE173896,GSE227691,PyDESeq2
