celltype,n_pseudobulk_samples,group_counts,genes_tested,significant_genes_fdr_0_05_abs_log2fc_0_5,method
Activated T cells,10,GSE173896:6; GSE227691:4,13657,686,PyDESeq2
Alveolar macrophages,10,GSE173896:6; GSE227691:4,8056,472,PyDESeq2
Alveolar type I cells,10,GSE173896:6; GSE227691:4,13519,75,PyDESeq2
Alveolar type II cells,10,GSE173896:6; GSE227691:4,17228,96,PyDESeq2
Basophils,8,GSE173896:6; GSE227691:2,14009,93,PyDESeq2
CD4+ memory T cells,10,GSE173896:6; GSE227691:4,20777,401,PyDESeq2
CD8+ effector T cells,10,GSE173896:6; GSE227691:4,19606,5562,PyDESeq2
Ciliated cells,9,GSE173896:5; GSE227691:4,12580,27,PyDESeq2
Classical monocytes,9,GSE173896:5; GSE227691:4,1309,1,PyDESeq2
Club cells,10,GSE173896:6; GSE227691:4,19385,1281,PyDESeq2
Endothelial tip cells,10,GSE173896:6; GSE227691:4,13235,1305,PyDESeq2
Mast cells,5,GSE173896:3; GSE227691:2,210,0,PyDESeq2
Myofibroblasts,9,GSE173896:6; GSE227691:3,17381,568,PyDESeq2
Neutrophils,8,GSE173896:6; GSE227691:2,6114,1,PyDESeq2
Non-classical monocytes,10,GSE173896:6; GSE227691:4,21176,4833,PyDESeq2
Plasma cells,10,GSE173896:6; GSE227691:4,11261,36,PyDESeq2
Vascular endothelial cells,10,GSE173896:6; GSE227691:4,19974,6857,PyDESeq2
