stage,study,cells,median_counts,median_genes,median_pct_mt
before_filter,GSE132771,34885,2258.0,1003.0,2.9155188246097334
before_filter,GSE159354,14921,1178.0,598.0,0.847457627118644
before_filter,GSE171524,36678,973.0,693.0,0.0
before_filter,GSE173896,28918,6951.0,2593.0,3.786227462256301
before_filter,GSE227691,15479,2227.0,1094.0,2.5334608030592736
after_filter,GSE132771,34383,2285.0,1013.0,2.8877887788778875
after_filter,GSE159354,13289,1336.0,653.0,0.8661417322834646
after_filter,GSE171524,32133,1090.0,759.0,0.0
after_filter,GSE173896,25061,6843.0,2573.0,3.6256585063526496
after_filter,GSE227691,15421,2235.0,1096.0,2.5276909968758874
